"cantidad","fecha_pedido","exceso","material"
6.824986,2012-05-14,0.0812173334,"001012887"
0.07,2012-05-14,0.000833,"001012695"
1.4e-05,2012-05-14,1.666e-07,"001012766"
0.014,2012-05-14,0.0001666,"001012512"
0.021,2012-05-14,0.0002499,"001012513"
0.07,2012-05-14,0.000833,"001012515"
13.162473,2012-07-24,0.1632146652,"001012887"
0.135,2012-07-24,0.001674,"001012695"
2.7e-05,2012-07-24,3.348e-07,"001012766"
0.027,2012-07-24,0.0003348,"001012512"
0.0405,2012-07-24,0.0005022,"001012513"
0.135,2012-07-24,0.001674,"001012515"
9.74998,2012-08-16,0.01949996,"001012887"
0.1,2012-08-16,2e-04,"001012695"
2e-05,2012-08-16,4e-08,"001012766"
0.02,2012-08-16,4e-05,"001012512"
0.03,2012-08-16,6e-05,"001012513"
0.1,2012-08-16,2e-04,"001012515"
16.7699656,2012-05-17,0.07211085208,"001012887"
0.172,2012-05-17,0.0007396,"001012695"
3.44e-05,2012-05-17,1.4792e-07,"001012766"
0.0344,2012-05-17,0.00014792,"001012512"
0.0516,2012-05-17,0.00022188,"001012513"
0.172,2012-05-17,0.0007396,"001012515"
14.62497,2012-05-30,0.106762281,"001012887"
0.15,2012-05-30,0.001095,"001012695"
3e-05,2012-05-30,2.19e-07,"001012766"
0.03,2012-05-30,0.000219,"001012512"
0.045,2012-05-30,0.0003285,"001012513"
0.15,2012-05-30,0.001095,"001012515"
9.74998,2012-06-20,0.148199696,"001012887"
0.1,2012-06-20,0.00152,"001012695"
2e-05,2012-06-20,3.04e-07,"001012766"
0.02,2012-06-20,0.000304,"001012512"
0.03,2012-06-20,0.000456,"001012513"
0.1,2012-06-20,0.00152,"001012515"
9.74998,2012-07-17,0.007799984,"001012887"
0.1,2012-07-17,8e-05,"001012695"
2e-05,2012-07-17,1.6e-08,"001012766"
0.02,2012-07-17,1.6e-05,"001012512"
0.03,2012-07-17,2.4e-05,"001012513"
0.1,2012-07-17,8e-05,"001012515"
9.74998,2012-08-08,0.00487499,"001012887"
0.1,2012-08-08,5e-05,"001012695"
2e-05,2012-08-08,1e-08,"001012766"
0.02,2012-08-08,1e-05,"001012512"
0.03,2012-08-08,1.5e-05,"001012513"
0.1,2012-08-08,5e-05,"001012515"
9.74998,2012-05-25,0.186224618,"001012887"
0.1,2012-05-25,0.00191,"001012695"
2e-05,2012-05-25,3.82e-07,"001012766"
0.02,2012-05-25,0.000382,"001012512"
0.03,2012-05-25,0.000573,"001012513"
0.1,2012-05-25,0.00191,"001012515"
13.162473,2012-06-06,0.0895048164,"001012887"
0.135,2012-06-06,0.000918,"001012695"
2.7e-05,2012-06-06,1.836e-07,"001012766"
0.027,2012-06-06,0.0001836,"001012512"
0.0405,2012-06-06,0.0002754,"001012513"
0.135,2012-06-06,0.000918,"001012515"
9.74998,2012-08-16,0.147224698,"001012887"
0.1,2012-08-16,0.00151,"001012695"
2e-05,2012-08-16,3.02e-07,"001012766"
0.02,2012-08-16,0.000302,"001012512"
0.03,2012-08-16,0.000453,"001012513"
0.1,2012-08-16,0.00151,"001012515"
14.62497,2012-06-18,0.130162233,"001012887"
0.15,2012-06-18,0.001335,"001012695"
3e-05,2012-06-18,2.67e-07,"001012766"
0.03,2012-06-18,0.000267,"001012512"
0.045,2012-06-18,0.0004005,"001012513"
0.15,2012-06-18,0.001335,"001012515"
9.74998,2012-06-07,0.088724818,"001012887"
0.1,2012-06-07,0.00091,"001012695"
2e-05,2012-06-07,1.82e-07,"001012766"
0.02,2012-06-07,0.000182,"001012512"
0.03,2012-06-07,0.000273,"001012513"
0.1,2012-06-07,0.00091,"001012515"
14.62497,2012-08-06,0.057037383,"001012887"
0.15,2012-08-06,0.000585,"001012695"
3e-05,2012-08-06,1.17e-07,"001012766"
0.03,2012-08-06,0.000117,"001012512"
0.045,2012-08-06,0.0001755,"001012513"
0.15,2012-08-06,0.000585,"001012515"
9.74998,2012-06-21,0.01462497,"001012887"
0.1,2012-06-21,0.00015,"001012695"
2e-05,2012-06-21,3e-08,"001012766"
0.02,2012-06-21,3e-05,"001012512"
0.03,2012-06-21,4.5e-05,"001012513"
0.1,2012-06-21,0.00015,"001012515"
14.62497,2012-05-23,0.054112389,"001012887"
0.15,2012-05-23,0.000555,"001012695"
3e-05,2012-05-23,1.11e-07,"001012766"
0.03,2012-05-23,0.000111,"001012512"
0.045,2012-05-23,0.0001665,"001012513"
0.15,2012-05-23,0.000555,"001012515"
9.74998,2012-08-09,0.047774902,"001012887"
0.1,2012-08-09,0.00049,"001012695"
2e-05,2012-08-09,9.8e-08,"001012766"
0.02,2012-08-09,9.8e-05,"001012512"
0.03,2012-08-09,0.000147,"001012513"
0.1,2012-08-09,0.00049,"001012515"
10.724978,2012-05-28,0.1630196656,"001012887"
0.11,2012-05-28,0.001672,"001012695"
2.2e-05,2012-05-28,3.344e-07,"001012766"
0.022,2012-05-28,0.0003344,"001012512"
0.033,2012-05-28,0.0005016,"001012513"
0.11,2012-05-28,0.001672,"001012515"
9.74998,2012-07-25,0.163799664,"001012887"
0.1,2012-07-25,0.00168,"001012695"
2e-05,2012-07-25,3.36e-07,"001012766"
0.02,2012-07-25,0.000336,"001012512"
0.03,2012-07-25,0.000504,"001012513"
0.1,2012-07-25,0.00168,"001012515"
14.62497,2012-07-30,0.070199856,"001012887"
0.15,2012-07-30,0.00072,"001012695"
3e-05,2012-07-30,1.44e-07,"001012766"
0.03,2012-07-30,0.000144,"001012512"
0.045,2012-07-30,0.000216,"001012513"
0.15,2012-07-30,0.00072,"001012515"
9.74998,2012-05-18,0.049724898,"001012887"
0.1,2012-05-18,0.00051,"001012695"
2e-05,2012-05-18,1.02e-07,"001012766"
0.02,2012-05-18,0.000102,"001012512"
0.03,2012-05-18,0.000153,"001012513"
0.1,2012-05-18,0.00051,"001012515"
13.162473,2012-05-31,0.0487011501,"001012887"
0.135,2012-05-31,0.0004995,"001012695"
2.7e-05,2012-05-31,9.99e-08,"001012766"
0.027,2012-05-31,9.99e-05,"001012512"
0.0405,2012-05-31,0.00014985,"001012513"
0.135,2012-05-31,0.0004995,"001012515"
9.74998,2012-08-02,0.059474878,"001012887"
0.1,2012-08-02,0.00061,"001012695"
2e-05,2012-08-02,1.22e-07,"001012766"
0.02,2012-08-02,0.000122,"001012512"
0.03,2012-08-02,0.000183,"001012513"
0.1,2012-08-02,0.00061,"001012515"
13.162473,2012-06-26,0.2198132991,"001012887"
0.135,2012-06-26,0.0022545,"001012695"
2.7e-05,2012-06-26,4.509e-07,"001012766"
0.027,2012-06-26,0.0004509,"001012512"
0.0405,2012-06-26,0.00067635,"001012513"
0.135,2012-06-26,0.0022545,"001012515"
9.74998,2012-06-01,0.19012461,"001012887"
0.1,2012-06-01,0.00195,"001012695"
2e-05,2012-06-01,3.9e-07,"001012766"
0.02,2012-06-01,0.00039,"001012512"
0.03,2012-06-01,0.000585,"001012513"
0.1,2012-06-01,0.00195,"001012515"
9.74998,2012-06-13,0.045824906,"001012887"
0.1,2012-06-13,0.00047,"001012695"
2e-05,2012-06-13,9.4e-08,"001012766"
0.02,2012-06-13,9.4e-05,"001012512"
0.03,2012-06-13,0.000141,"001012513"
0.1,2012-06-13,0.00047,"001012515"
14.62497,2012-05-16,0.017549964,"001012887"
0.15,2012-05-16,0.00018,"001012695"
3e-05,2012-05-16,3.6e-08,"001012766"
0.03,2012-05-16,3.6e-05,"001012512"
0.045,2012-05-16,5.4e-05,"001012513"
0.15,2012-05-16,0.00018,"001012515"
9.74998,2012-07-26,0.100424794,"001012887"
0.1,2012-07-26,0.00103,"001012695"
2e-05,2012-07-26,2.06e-07,"001012766"
0.02,2012-07-26,0.000206,"001012512"
0.03,2012-07-26,0.000309,"001012513"
0.1,2012-07-26,0.00103,"001012515"
13.162473,2012-06-19,0.0868723218,"001012887"
0.135,2012-06-19,0.000891,"001012695"
2.7e-05,2012-06-19,1.782e-07,"001012766"
0.027,2012-06-19,0.0001782,"001012512"
0.0405,2012-06-19,0.0002673,"001012513"
0.135,2012-06-19,0.000891,"001012515"
6.824986,2012-05-21,0.0389024202,"001012887"
0.07,2012-05-21,0.000399,"001012695"
1.4e-05,2012-05-21,7.98e-08,"001012766"
0.014,2012-05-21,7.98e-05,"001012512"
0.021,2012-05-21,0.0001197,"001012513"
0.07,2012-05-21,0.000399,"001012515"
13.162473,2012-08-07,0.236924514,"001012887"
0.135,2012-08-07,0.00243,"001012695"
2.7e-05,2012-08-07,4.86e-07,"001012766"
0.027,2012-08-07,0.000486,"001012512"
0.0405,2012-08-07,0.000729,"001012513"
0.135,2012-08-07,0.00243,"001012515"
14.62497,2012-06-11,0.090674814,"001012887"
0.15,2012-06-11,0.00093,"001012695"
3e-05,2012-06-11,1.86e-07,"001012766"
0.03,2012-06-11,0.000186,"001012512"
0.045,2012-06-11,0.000279,"001012513"
0.15,2012-06-11,0.00093,"001012515"
16.7699656,2012-05-24,0.10732777984,"001012887"
0.172,2012-05-24,0.0011008,"001012695"
3.44e-05,2012-05-24,2.2016e-07,"001012766"
0.0344,2012-05-24,0.00022016,"001012512"
0.0516,2012-05-24,0.00033024,"001012513"
0.172,2012-05-24,0.0011008,"001012515"
14.62497,2012-06-05,0.077512341,"001012887"
0.15,2012-06-05,0.000795,"001012695"
3e-05,2012-06-05,1.59e-07,"001012766"
0.03,2012-06-05,0.000159,"001012512"
0.045,2012-06-05,0.0002385,"001012513"
0.15,2012-06-05,0.000795,"001012515"
13.162473,2012-06-12,0.2145483099,"001012887"
0.135,2012-06-12,0.0022005,"001012695"
2.7e-05,2012-06-12,4.401e-07,"001012766"
0.027,2012-06-12,0.0004401,"001012512"
0.0405,2012-06-12,0.00066015,"001012513"
0.135,2012-06-12,0.0022005,"001012515"
14.62497,2012-08-13,0.042412413,"001012887"
0.15,2012-08-13,0.000435,"001012695"
3e-05,2012-08-13,8.7e-08,"001012766"
0.03,2012-08-13,8.7e-05,"001012512"
0.045,2012-08-13,0.0001305,"001012513"
0.15,2012-08-13,0.000435,"001012515"
13.162473,2012-07-31,0.0144787203,"001012887"
0.135,2012-07-31,0.0001485,"001012695"
2.7e-05,2012-07-31,2.97e-08,"001012766"
0.027,2012-07-31,2.97e-05,"001012512"
0.0405,2012-07-31,4.455e-05,"001012513"
0.135,2012-07-31,0.0001485,"001012515"
9.74998,2012-06-28,0.187199616,"001012887"
0.1,2012-06-28,0.00192,"001012695"
2e-05,2012-06-28,3.84e-07,"001012766"
0.02,2012-06-28,0.000384,"001012512"
0.03,2012-06-28,0.000576,"001012513"
0.1,2012-06-28,0.00192,"001012515"
10.724978,2012-06-01,0.1962670974,"001012887"
0.11,2012-06-01,0.002013,"001012695"
2.2e-05,2012-06-01,4.026e-07,"001012766"
0.022,2012-06-01,0.0004026,"001012512"
0.033,2012-06-01,0.0006039,"001012513"
0.11,2012-06-01,0.002013,"001012515"
9.74998,2012-07-08,0.15112469,"001012887"
0.1,2012-07-08,0.00155,"001012695"
2e-05,2012-07-08,3.1e-07,"001012766"
0.02,2012-07-08,0.00031,"001012512"
0.03,2012-07-08,0.000465,"001012513"
0.1,2012-07-08,0.00155,"001012515"
9.74998,2012-06-27,0.0974998,"001012887"
0.1,2012-06-27,0.001,"001012695"
2e-05,2012-06-27,2e-07,"001012766"
0.02,2012-06-27,2e-04,"001012512"
0.03,2012-06-27,3e-04,"001012513"
0.1,2012-06-27,0.001,"001012515"
13.162473,2012-08-14,0.1790096328,"001012887"
0.135,2012-08-14,0.001836,"001012695"
2.7e-05,2012-08-14,3.672e-07,"001012766"
0.027,2012-08-14,0.0003672,"001012512"
0.0405,2012-08-14,0.0005508,"001012513"
0.135,2012-08-14,0.001836,"001012515"
9.74998,2012-07-01,0.044849908,"001012887"
0.1,2012-07-01,0.00046,"001012695"
2e-05,2012-07-01,9.2e-08,"001012766"
0.02,2012-07-01,9.2e-05,"001012512"
0.03,2012-07-01,0.000138,"001012513"
0.1,2012-07-01,0.00046,"001012515"
14.62497,2012-06-25,0.070199856,"001012887"
0.15,2012-06-25,0.00072,"001012695"
3e-05,2012-06-25,1.44e-07,"001012766"
0.03,2012-06-25,0.000144,"001012512"
0.045,2012-06-25,0.000216,"001012513"
0.15,2012-06-25,0.00072,"001012515"
9.74998,2012-07-10,0.139424714,"001012887"
0.1,2012-07-10,0.00143,"001012695"
2e-05,2012-07-10,2.86e-07,"001012766"
0.02,2012-07-10,0.000286,"001012512"
0.03,2012-07-10,0.000429,"001012513"
0.1,2012-07-10,0.00143,"001012515"
9.74998,2012-07-03,0.052649892,"001012887"
0.1,2012-07-03,0.00054,"001012695"
2e-05,2012-07-03,1.08e-07,"001012766"
0.02,2012-07-03,0.000108,"001012512"
0.03,2012-07-03,0.000162,"001012513"
0.1,2012-07-03,0.00054,"001012515"
14.62497,2012-07-23,0.188662113,"001012887"
0.15,2012-07-23,0.001935,"001012695"
3e-05,2012-07-23,3.87e-07,"001012766"
0.03,2012-07-23,0.000387,"001012512"
0.045,2012-07-23,0.0005805,"001012513"
0.15,2012-07-23,0.001935,"001012515"
9.74998,2012-06-14,0.144299704,"001012887"
0.1,2012-06-14,0.00148,"001012695"
2e-05,2012-06-14,2.96e-07,"001012766"
0.02,2012-06-14,0.000296,"001012512"
0.03,2012-06-14,0.000444,"001012513"
0.1,2012-06-14,0.00148,"001012515"
9.74998,2012-08-01,0.1462497,"001012887"
0.1,2012-08-01,0.0015,"001012695"
2e-05,2012-08-01,3e-07,"001012766"
0.02,2012-08-01,3e-04,"001012512"
0.03,2012-08-01,0.00045,"001012513"
0.1,2012-08-01,0.0015,"001012515"
0.03,2012-07-01,0.000486,"001012513"
0.1,2012-07-01,0.00162,"001012515"
0.02,2012-07-01,0.000324,"001012512"
2e-05,2012-07-01,3.24e-07,"001012766"
0.1,2012-07-01,0.00162,"001012695"
9.74998,2012-07-01,0.157949676,"001012887"
0.03,2012-07-08,0.000459,"001012513"
0.1,2012-07-08,0.00153,"001012515"
0.02,2012-07-08,0.000306,"001012512"
2e-05,2012-07-08,3.06e-07,"001012766"
0.1,2012-07-08,0.00153,"001012695"
9.74998,2012-07-08,0.149174694,"001012887"
0.03,2012-07-17,0.000438,"001012513"
0.1,2012-07-17,0.00146,"001012515"
0.02,2012-07-17,0.000292,"001012512"
2e-05,2012-07-17,2.92e-07,"001012766"
0.1,2012-07-17,0.00146,"001012695"
9.74998,2012-07-17,0.142349708,"001012887"
0.03,2012-07-03,0.000315,"001012513"
0.1,2012-07-03,0.00105,"001012515"
0.02,2012-07-03,0.00021,"001012512"
2e-05,2012-07-03,2.1e-07,"001012766"
0.1,2012-07-03,0.00105,"001012695"
9.74998,2012-07-03,0.10237479,"001012887"
0.03,2012-07-10,0.000309,"001012513"
0.1,2012-07-10,0.00103,"001012515"
0.02,2012-07-10,0.000206,"001012512"
2e-05,2012-07-10,2.06e-07,"001012766"
0.1,2012-07-10,0.00103,"001012695"
9.74998,2012-07-10,0.100424794,"001012887"
0.019,2012-07-22,0.0001615,"001012514"
0.0057,2012-07-22,4.845e-05,"001012513"
0.0038,2012-07-22,3.23e-05,"001012512"
1.8524962,2012-07-22,0.0157462177,"001012887"
0.019,2012-07-22,0.0001615,"001012695"
3.8e-06,2012-07-22,3.23e-08,"001012766"
